,comment
571,"Ты-то пиздец сильный, да? Лол. Нет, мой дорогой ебанашка, ты должен знать, что миром правят не сильные, а умные, хитрые и коммуникабельные. Сильные на стройках и в шахтах ебашат, за скромный прайс. Что ж касается этого уебана, то довольно скоро он нарвется на рили отморозка, которому похуй будет на да это пранк, чувак . Пилю прохладную: один мой знакомый ночью бухал с пацыками, че-то дурачились они, гуляли ночью по ДС. Решили на светофоре встать вчетвером, типа они в невидимой тачке. Я рядом чурка на приоре. Они че-то с чуркой давай в гляделки играть, типа гонки на светофоре . Чурка юмор не осилил, вышел и порезал моего приятеля и его кореша ножом. Один помер в больничке, мой знакомый остался жив, но че-то уме удалили и все пузо перешито теперь.
"
8859,"вот цитата с сайта инвитро, не последняя лаборатория вроде Показатель иммунного ответа на вирус кори, указывающий на имевшую место в прошлом или текущую инфекцию, или вакцинацию против кори. У переболевших корью людей развивается пожизненный иммунитет. Вакцинация живой противокоревой вакциной также обеспечивает стойкий иммунитет
"
8562,"вот бы столько и правда прожить...
"
5083,"Остальное вылизывать.
"
1589,ты это не путай там и моё моё это не взятка
11233,"И пиздежом попахивает, сломать лом?, согнуть или проебать это да, один лом на часть?, да ну нахуй, а чем плац мести? Чего чего а ломов, лопат и метел в армии дохуя сам сломал, сам сделал. Советскую пустотелую плиту сломать сложно, а дорожную, тем более аэродномную не реально! На самый маленький КамАЗ нужно плит 7 раздербанить.
"
1515,"Я про целесообразность покупки новой лады весты, с учетом ее стоимости.Шкода 4-5 летняя намного интереснее вариант, да и другие свежие иномарки. А в салонах щас этих разводок полно, поэтому у частника лучше брать, но опять же как минимум проверить vin."
9523,"При желании все проверить можно, согласен, да не всегда помогает. Я не противник обязательных тестов, я двумя руками за, но уверенности в них нет, а если перепроверять каждый раз, то какой от них смысл? Оплата обязаловок опять таки в налоги войдёт или будет навязана.
"
12512,"Колесные тележки-то все равно ж обычные... Да и рельсы, полагаю, тоже
"
13032,"Где-то говорилось, что эта фотка фейк и снята в какой-то другой стране (уже не помню какой именно)
"
6844,"У меня режут, но только при раздаче инета на комп. С телефона режется только телега и воспроизведение музыки ВК. В остальном не замечал
"
7529,"В том и проблема, что зп у большей части населения не позволит получать услуги в том объеме, в котором они получают их сейчас. Например тот же гемодиализ, или сдача анализов каждый месяц при подборе препаратов.
"
3665,"Градие нт вектор, своим направлением указывающий направление наибольшего возрастания некоторой величины. значение которой меняется от одной точки пространства к другой (скалярного поля), а по величине (модулю) равный скорости роста этой величины в этом направлении.
"
6627,"Комментаторс кип он комментинг
"
6027,"Вапорвейв и прочее это реакция на необузданный технологический прогресс и тот же современный неолиберализм, на резкие изменения в человеческом обществе и культуре, это попытка перенестись в более стабильное традиционалистическое прошлое, где прогресс всё ещё кажется красивой картинкой с постера, а не чумой убивающей человечество. Плюсом идёт ренесансная эстетика античной скульптуры в общем ключе темы ностальгии - это возвращение к истокам европейской цивилизации - это культурное оружее приверженцев духа уходящего мира. Это контркультура
"
7472,"Либо ты лжец, либо склонен к суициду. Третьего не дано. Я в курсе, что на Пикабу полно диагностиков по нескольким фразам , вы, похоже, из их числа. Все остальные преступники. Как в данном случае бывшая жена. Это ваше мнение, у меня - иное, хоть и не совпадающее с законом. Тем более, обезвредить можно и без побоев.
"
13291,"Речь не о том, что ютуб подсовывает, а о самых популярных играх. Касательно игр: популярное далеко не всегда значит хорошее. Имхо игровая индустрия переживает кризис идей. 1005000 клонов королевской битвы(пубга) не дадут соврать.
"
9472,"В чём проблема? Деградируй до неандертальца и хуярь пидорасов!
"
14382,"90 не будет этим заниматься. Хохлов отрезают от базы знаний, блокировки, запрет физической литературы, издателй, всё это совмещено с запретом русского ирл, и это прекрасно. Ибо хохлам ничего взамен не предлагают, тк никто в салоине не занимается укромовным книгоизданием всерьез, а читать литературу на английском там могут в единицы.
"
567,"Дим-Юрич, идите выёбываться в свой тред.
"
5360,"Вдруг, кто захочет поддержать парня в дороге рублем, Карта сбера: 5469 2700 1225 5537, Ссылка на его страницу в вк:
"
6938,"Я в свои лучшие годы на градирню в качестве тренировки залезал. Это около 90 метров, причем в конце лестница имеет небольшой отрицательный уклон. А вот вышки телефонные разлюбил, когда узнал, через сколько в наших краях ГБР приезжает по сигналу от датчиков.
"
1822,Взгляните на пизду. Как психически здоровый человек захочет вставлять в эту мерзость? Женская издания это самый страшный орган человека.
7927,"Согласен что дурь. Выходной - это идеальное время закупки продуктов на неделю. А государство зачем-то полезло в рынок, ладно, лезть надо, НО не график работы же регулировать. Они там ахуеют же если узнают что есть еще и круглосуточные. Не помню, в Европе выходной у магазов - ход от профсоюзов вроде? Не понимаю кто от этого закона выиграет? В магазах же просто откажутся от сменщиц и уволят по крайней мере (20-26 часов) одного работника
"
10329,"Из макдака, называется по домашнему
"
10599,"ну мы разное брали. за содержание белка честно говоря не слышала, не могу сказать, пробовали ли нежирное, но с белком. но сколкьо экспериментирвоали с молоком жирности менее 3,2 - вообще дела не выходит. пена если и получается, то никак не годится она на латте и подобное. ещё немаловажный фактор - везде свои стандарты, первое место моей работы - капучино не выдавалось без пенки высотой см3. второе - пришла на стажировку, а внешне капучино и кофе с молоком не отличить. да и по рецептуре, они не понимали, в чем разница, долить молока, или долить пены)
"
5947,"Никак не смотрю, вообще не смотрю телик. Я так понял, это контент чисто для хохлов с пораши.
"
9103,"Как это не прискорбно, в случае испанки сильный иммунитет оказался скорее проблемой, чем спасением, т.к. основная причина высокой смертности была вызванная вирусом реакция иммунитета, так называемый цитокиновый шторм. То есть атаковались клетки с находившимся в них вирусом, что приводило к быстрому разрушению воспалённых тканей лёгких и заполнению последних жидкостью, что также объясняет молниеносность и крайне высокую летальность заболевания именно среди молодых больных с крепким развитым иммунитетом.
"
5134,"Меня больше заинтересовала строчка о А вот на PC приходятся оставшиеся 6 физических копий, так как большинство PC-игроков предпочло цифровые версии. иии я может что-то упустил, но не помню физических копий на пк в продаже.
"
6945,"Всё правильно крестьянка.
"
1748,Уточнил просто. Людей меньше 25 лвл считаю пробником человека. Но самоутверждением здесь не пахнет.
7608,"Последние лет 5 подряд меня это не смущало. Есть и другие виды деятельности типа аниме, программирование. В общем, есть чем себя занять на порядок интереснее, чем сейчас это делает работодатель
"
6836,"я думал, чт о барецкий уже помер давно
"
2185,"Вороватый барыга решил напарить бабок, голосующих за Барина, и спиздить бесплатный хавчик, пока никто не видит. Но не тут-то было, бдительные Стражи Роспотребнадзора вовремя схватили негодяя за руку!
"
4281,"Нет. Все они звонят в домофон. А вот терки и кастрюли поджидают, кто дверь откроет,чтобы просочиться. Я не хочу создавать людям проблемы, поэтому у меня есть домофон. Я не помню уже, сколько платила за установку домофона, но абонентская плата в размере 52р. меня не разорит)
"
12507,"Жаль долго с ним разговаривали, надо сразу таких мордой в капот
"
1185,"Эх а в северодвинске, эра концертов завяла."
9746,"У нас штуки четыре, если не в идеале брать.
"
12334,"Там помимо светодиодов еще и ТРАНСФОРМАТОР СТОИТ. Там НЕ 220в. И 100 это не транзистор, а какой-то трехногий драйвер, вроде LM317, но расчитаный на большее напряжение.
"
1797,"Да, на Rust е ЯП были примеры задач по этому тупому примеру."
7827,"У нас был недавно скандал с Новой Почтой (Украина). Работники почты заказывали мелочевку всякую, типа чехлы, повербанки и т.д. с доставкой в другой город. Шло время, товар никто не забирал, за хранение начинала капать сумма. За обратную пересылку с хранением получалось дороже чем стоил сам товар. Покупатели ничего не могут сделать, работнички забирают товар себе. Схему раскрыл Уткин, его прижали и завели дело за порчу репутации. Закончилось тем что в офисах почты начались массовые обыски с прокуратуры (совпало), о деле забыли. Я это воспринимаю как карму.
"
2505,"Анус себе дискредитируй, либераш :3
"
9567,"Все мечтаю открыть магазин по продаже бонгов и трубок, подскажите, не закроют ли меня на следующий день?
"
12131,"в дрифте это нужно для правильной аэродинамики, но она тяжелее и для трека подходит меньше, чем седаны.
"
11946,"Хорошо горит! Можно маленький город отапливать.
"
13800,"Мод, гони нахуй этого дауна клеймящего всех паузодибильством, что на реакшен не похоже, ваши реакты не реакты итд.
"
4368,"2000-3000 шт. в год из импортных комплектующих.
"
9890,"Вот блять встал по правилам а тут такие умники хуевы повылазят с ключами
"
1572,Водитель троллейбуса на антигравах :)
383,"В любом тоталитарном государстве, основой является удержание власти лидером государства в течение максимального срока, в начале прикрываясь законодательством, затем меняя его под предлогом чаяния народных масс. Впоследствии деформированное законодательство вместе с раскрученным маховиком надуманных статей начинает крушить всех, порой и своих же создателей. Маниакальное стремление оставаться у власти и панический страх созревания заговора среди недовольных соратников побуждало Сталина убирать всех мало-мальски авторитетных и думающих людей во власти, как потенциальных конкурентов. Рядом оставались только лизоблюды, вилявшие задницей и угодливо заглядывающие в глаза вождю, даже когда сажали и убивали членов их семей. Таких примеров тысячи, а созданный комбайн репрессий косил всех без разбора, кто то из соратников вождя успел убежать из страны, иные остались, веря в то что их авторитет и заслуги перед родиной защитят от кары, но просчитались и те и другие. Мой прадед, священник мелкой церкви после закрытия её коммунистами, ходил по домам по просьбе верующих, крестил причащал и тд. Его арестовали по 58 статье: агитация против советской власти и расстреляли через 4 дня. Семья долгие годы надеялась, что он сидит в тюрьме, как им лгали в НКВД. Какую реальную опасность представлял он для советской власти в 37 году? Понятно, что человека убили просто для отчета, дабы отрапортовать в верхах, что работа по выявлению врагов ведется успешно и враги есть. Впоследствии система отомстила и усатому , когда он пролежал в луже мочи без помощи несколько часов, а его соратники по партии то ли из страха, то ли по другим причинам не интересовались его долгим отсутствием. Так же закончил и Хрущов, вначале плясавший гопака на пьянках по прихоти Сталина, потом решив расквитаться за все унижения докладом на ХХ съезде. Верхушка, побоявшись возникновения нового диктатора по-тихому убрала его, пока он не набрал авторитета. Извиняться за репрессии конечно ни перед кем не стали, сказали, что просто ошибка вышла, с кем не бывает! На Партию не обижаются!(популярная фраза в то время). В демократических государствах облажавшемуся правительству дают под сраку, иногда даже судят и наказывают. В странах с диктатурой, запуганный народ приходит с флагами и хоругвями на площади и славит существующую власть, потом на кухнях по-традиции пьют водку и жалуются друг-другу. Тех, кто пытается открыть рот, называют пидорасами и публично высмеивают, если они продолжают выёбываться, то существует множество законных способов успокоить поциента, надолго закрыв его по статье. Статей много и судьи понятливые.
"
13853,"я думал его вальнут когда он начал шарить около пояса.
"
995,"когда изобрели пулемёт максим думали войн уже не будет манька, кто думал? выдуманные людишки в твоей голове?
"
12685,"Только тихо. Первое правило тайной комнаты...
"
1501,"Для поиска партнёра для чпек чпека, а не для знакомств"
8649,"Закон сохранения энергии рулит
"
6609,"Что знают двое - знает и свинья. Причем свинья запросто может и накосячить, причем вас, как её за задницу возьмут, она просто без шансов сольет с потрохами, практически сняв с себя ответственность. Тупейшая идея. Только самому, если ты такой ама-мама-криминал, если ты готов присвоить деньги банка.
"
2936,"проёбаное поколение 90-х мы то как раз выживем а вот вы заморыши просто отребье
"
2885,"С того, что тупикал Китай хач, а тупикал Япония - урус. Потом проорал с белков корейца. Лучше соус дай.
"
206,"ряженые кизяки Извинись!
"
8656,"Вообще, это заблуждение вот ссылка на ютуб, где объясняют этот момент
"
10489,"Самое тупое - это невозможность удалить все оставленные где-то комментарии. Типа они тебе не принадлежат. Остаются даже после блокировки страницы. Особенно, если группа закрыта, и ты физически не имеешь доступа к кнопке удалить . Я писал агентам техподдержки , там такой пиздец ответили, лучше бы не обращался к ним вообще. Написал на мыло в саппорт, они сказали - иди к агентам. Короче не знаю, наверное надо действительно менять имя на странице и удалять её к чертям и ждать год.
"
11737,"Классика России: на всех одна баба, водник, водка
"
4370,"Просто с комнатной антенной- ничего. Если растягивать по правилам, на крыше или по деревьям, то и он поймает.
"
4991,"Я не говорила ничего о чрезмерной нагрузке. За всё время проживания у меня ни разу не выбивало пробки в щитке.
"
12967,"Вступаю : варю борщи,кую хуйньню.,
"
6978,"Есть официальные сервисные центры Xiaomi лучше туда и запчасти, и гарантия, и дешевле. В ремонтах ближайших ТЦ ещё те ремонтёры сидят, да и гарантии никакой. Да и с официалами проще потом тягаться, при вылезшем косяке, чем с шарашкой в ТЦ.
"
256,"А вы похоже тоже из этих? Не буду, пожалуй, вам ничего писать, вдруг вы заразны.
"
8777,"Могу ошибаться, но вроде даже сделки, требующие гос. регистрации, могут быть совершены в виде расписки. Там ведь уже тараканы регистратора мешают. Для этих сделок ведь действуют общие требования ГК к форме договора. А там написано простая письменная . А будет она соответствовать обычному виде договора или нет, как мне кажется, не имеет значения, если из текста можно определить существенные условия.
"
6054,"итак дохуя тредов с проблемами России, тут мы постим ДРУГОЕ
"
12663,"У меня тоже ракета рабочая, и используется до сих пор. Из минусов только шум и выхлапывание мешка на улице. Только моделька другая. Ей же продуваю ноут специальной насадкой. Как тебе такое , Илон Маск?
"
3886,"Тут может быть другая наёбка, когда спасибо начисляются на покупки до 20 т.р. в месяц. На моментальных по крайней мере так
"
11589,"Открытые данные Сбербанка. Не думаю, что они учитывают серую...
"
12268,"сними мундир, отправь в помои, потом иди снимать побои.
"
3369,"Но ведь когда одевают такой лифчик внешний мир нагревается меньше, т.е. всё таки охлаждается...
"
13021,"Автоматика не сможет просчитать... Автоматика ведь просчитывает движение цели когда цель появляется в зоне обнаружения, корректирует курс ракеты и тд.. Тут скорее всего когда система зенитного комплекса поймает цель, то будет уже поздно.
"
6494,"Хохлятский, или как там его, либеральный дебил-куколд, фемка-наоборот, верещащий про угнетение и вирджин-шейминг. Таков любой мисп, его ебут, а он крепчает. Иоганн годный, но все больше скатывается в мракобесие на почве ненависти к детям (обычно в МД принято ненавидеть баб, но их он как раз жалует, а дети у него недавно массово вырезали кошек в Москве во славу сатаны). Часто с умным видом и безаппеляционной интонацией несет полнейшую хуету. У Нестерова слишком уж хуевое качество. Не осиливаю 90 его высеров: косноязычно, мыльно. Недавнее создание нового МД вызвано горящей жопой от хейтеров, типа создам движуху, а вас туда не возьму. Новоселов скучный и поехал на ватной теме. Ищет английскую королеву под кроватью. Получается, кроме Иоганна смотреть и некого. Угораю с того, как у аметистов горит жопа в комментах, когда он поповские темы задвигает.
"
9167,"Не все они плохие. А орган зайти типо рне, как и любое быдло, преимущественно атаковали тех кто отпора не мог дать - т.е. обычно именно нормальных хачей, а всякое агрессивное быдло, вооруженное и держащееся группами они трогать боялись. так что давайте лучше на власть влиять чтобы проблему законно решала, ужесточались законы, т.е. после уголовного дела сразу депортировала, после 2х административных тоже, чтобы визовый режим жёсткий вводили (в том числе с кавказскими республиками что то типо визового режима, должен быть очень строгий контроль кто оттуда и куда едет), но все это должно приводить к тому чтобы цивилизованные и образованные люди могли по ехать, жить, работать в России и приносить пользу, а всякое быдло чтобы не пускали. А то из РФ на запад едут десятки тысяч молодых специалистов, а в РФ со всего ближнего зарубежья стекается необразованное, ленивое и криминальное быдло
"
6964,"по мне так лазерная дольше будет храниться чем с матричного принтера...
"
11143,"Спасибо большое за ответы
"
11381,"13 дней, чтоб полностью отпустила
"
6270,"Важно только обдавали ли они контейнеры кипяточком. Соблюдение технологии очень важно при производстве вкусного и недорогого украинского продукта.
"
5329,"В такой ситуации виноваты пидарасы из Ростелекома у которых даже кошка может купить фильм с пульта. Дебилы блять.
"
4120,"В яндекс картинках постоянно намеки на цп проскакивают. Кучу раз кидал репорты на эту х иту, но до сих пор ничего не изменилось. Удаляют из поисковой выдачи только видосы с непотребным контентом.
"
3923,"Корпус конечно крутой, но думаю очень дорогой. Я бы на месте разработчиков подумал бы о более бюджетном, более простом в изготовлении варианте корпуса.
"
5014,"Для этого у меня есть пленочный фотоаппарат, чтобы кадров жалко было...и они.. о, чудо..всегда выходят удачными) Ну..мода...беспощадна..и частенько поддаешься..соблазну..собой заполонить, но меня радует, что я нахожу в себе силы..видеть и делать кадры, не со своей пресным лицом. Еда, кстати, почему бы и нет...если это путешествие и что-то красивое.
"
13110,"Я чищу тряпкой для мытья стекол
"
6215,"Нет, просто пыньки-гобляди даже дислайки накрутить нормально не способны.
"
10216,"Еще есть фильм 1974 года Германия Когда мама объявила забастовку Но описания нет, не знаю о чем он, можно только догадываться
"
1144,"Да, вся страна ебашит на зарплатах меньше 50 тысяч и их все устраивает"
8224,"Геи. Пидарасты. .....
"
694,"Всего 500км, почему они тоже не могут пользоваться этим спутником?
"
7383,"Но проблема в том, что большинство пользователей, не делают этого, либо отключают от сети, но не протирают планки матрицы..., а потом (в хорошем варианте через определенное время) плачут, что мастера плохие, и починить не могут... а там чинить оказывается то уже нечего...
"
10085,"В случае, если повтор приближается к значениям, позволяющим оставить его в ленте пользователей, модератор вправе приостановить обработку призыва на срок до 3 часов. Если за указанный период пост не набирает необходимую разницу с оригиналом, он переносится в баяны. Пост активно набирает рейтинг. Так что посмотрим, что будет.
"
5693,"куколдыш Иди значение выучи, мурло Скоро и тебе пиздарики наступят. Что сделаешь, насрешь под дверью, ЧМО?
"
3470,"Ну есть же скидка. Где-то 0,0015 .
"
12830,"От таких бабищ горит пердак.
"
289,"Сука мои глаза кровоточат, про какой там нахуй тубик тебе посты делать, пяздуй за букварем срочно!!!!
"
6466,"Не выпустил ролик про оптимизацию в Он же не специалист, такие вещи он берёт из гугла, зато умеет пиздеть, одну и ту же мысль растянет на 20 минут.
"
2698,"Я весьма поверхностно знаком с творчеством сего пациента, но из пары его недавних видео могу сделать однозначный вывод, что абсолютное большинство его тезисов находятся где-то посредине двуемыслия и пиздобольства. Это довольно сложный вопрос. Довольно часто иностранцев принимают куда лучше, чем самих японцев. Не потому что японцы плохие, а потому что иностранцы, они как дети того и глядишь расшибут себе лоб без присмотра. Но вообще стоит этим не злоупотреблять и поскорей ассимилироваться. Не рай, конечно, просто очень зажиточная, а главное комфортная для жизни, страна. Я бы даже позволил себе заявить, что по всей совокупности параметров лучше в мире попросту нет. Швейцария, возможно, но это не точно. Виабушники, к слову, не так уж далеки от реальности, рандомное аниме про повседневность практически идеально описывает, собственно, здешнюю повседневность. мимо-живу-в-японии-5-лет
"
9587,"Не знаю с чего, но островные так считают. Во всяком случае считали во времена нереварина, сейчас не знаю как там что.
"
3901,"Посмотрел специально про поезда в Польше. Итак, расстояние между Гданьском и Варшавой 283 километра, а между Новосибирском и Томском - 308. Немного длиннее. Самый быстрый поезд у нас 4 часа 27 минут. Гданьск-Варшава самый быстрый - 2 часа, 39 минут. Но ходит один-два раза в день, в другое время проезд от трех до 5,8 часов. И, самое главное. у нас цена билета идет от 609 р. в сидячем, плацкарт 750 р, купе от 1200 рэ. В Польше цена порядка 2800 (165 злотых в среднем) рэ. Вы согласны ехать три часа сидя и при этом заплатить в 4,5 раза больше, чем в сидячем у нас, который едет 4 часа 27 минут?
"
7969,"Вроде он. Еще рычаг ручника есть справа. Суровые стальные игрушки, пережившие несколько поколений.)
"
4329,"Выучить врача - это задача 16-18 лет (школа 11 лет, 4-7 лет мед институт). А ещё надо откудато взять тех, кто будет обучать, это преподаватели. Если образование в жопе и сокращается, то даже при наличии дохулиарда денег, будет нехватка квалифицированной рабочей силы. Бизнес, предприниматель, никогда не будет выстраивать планы на 20 лет вперёд. В этом нет никакой выгоды. Он возьмётся за это только при гос. финансировании. И это задача государственного планирования: выстроить школы, образование на десятки лет вперёд. Если умирает образование, умирают все отрасли, потому что специалисты стареют, новые не появляются. Это не вопрос денег, это вопрос прежде всего государственной политики. И в капитализме никто не стремится сделать лечением общедоступным всему населению. Лечение будет получать тот, у кого есть на это деньги. А поэтому не нужно держать большой штат мед. персонала, чтобы покрыть всё население. То что это в перспективе может привести к проблемам, как например отказ от прививок привёл к вспышке кори на Украине - капиталистов мало волнует. Только когда будет реальная угроза что рабочее население страдает, мрёт и доходы от этого падают, начнутся какие-то вливание в медицину. Всегда медицину будут держать уровень - чтобы могли работать, а потом пусть сдохнут . Ни о каком сокращении рабочего дня и речи не идёт. Там где нужно регулярное присутствие персонала (экстренные службы), чтобы сократить работникам нагрузку, нужно просто больше персонала нанять. А это большие издержки по зарплате. Это когда вместо одной медсестры на сутки дежурства, две - каждая по 12 часов. И платить им нужно не в 2 раза меньше чем одной, а каждой столько, чтобы нормально хватало и человек был обеспечен.
"
